# channel_von channel_bis counts zeit/s 
5.800000000000000000e+01 6.300000000000000000e+01 3.245000000000000000e+03 3.579999999999999716e+01
5.700000000000000000e+01 6.200000000000000000e+01 3.420000000000000000e+03 4.120000000000000284e+01
5.700000000000000000e+01 6.200000000000000000e+01 3.424000000000000000e+03 4.238000000000000256e+01
5.600000000000000000e+01 6.100000000000000000e+01 3.624000000000000000e+03 3.382000000000000028e+01
5.500000000000000000e+01 6.000000000000000000e+01 3.661000000000000000e+03 5.000000000000000000e+01
5.500000000000000000e+01 6.000000000000000000e+01 3.492000000000000000e+03 3.885999999999999943e+01
5.500000000000000000e+01 6.000000000000000000e+01 3.392000000000000000e+03 3.888000000000000256e+01
5.500000000000000000e+01 6.000000000000000000e+01 3.367000000000000000e+03 4.543999999999999773e+01
5.500000000000000000e+01 6.000000000000000000e+01 3.659000000000000000e+03 3.388000000000000256e+01
5.500000000000000000e+01 6.000000000000000000e+01 3.289000000000000000e+03 3.975999999999999801e+01
5.500000000000000000e+01 6.000000000000000000e+01 3.468000000000000000e+03 4.214000000000000057e+01
5.500000000000000000e+01 6.000000000000000000e+01 3.408000000000000000e+03 3.778000000000000114e+01
