# channel_von channel_bis counts zeit/t 
5.400000000000000000e+01 5.900000000000000000e+01 2.153000000000000000e+03 1.715999999999999943e+02
5.400000000000000000e+01 5.900000000000000000e+01 2.031000000000000000e+03 3.593000000000000114e+02
5.400000000000000000e+01 5.900000000000000000e+01 2.058000000000000000e+03 3.385799999999999841e+02
5.400000000000000000e+01 5.900000000000000000e+01 2.076000000000000000e+03 9.193999999999999773e+01
5.400000000000000000e+01 5.900000000000000000e+01 2.014000000000000000e+03 6.807200000000000273e+02
5.400000000000000000e+01 5.900000000000000000e+01 2.103000000000000000e+03 2.336999999999999886e+02
5.400000000000000000e+01 5.900000000000000000e+01 2.066000000000000000e+03 2.033400000000000034e+02
5.400000000000000000e+01 5.900000000000000000e+01 2.038000000000000000e+03 6.999600000000000364e+02
5.400000000000000000e+01 5.900000000000000000e+01 2.193000000000000000e+03 9.948000000000000398e+01
5.400000000000000000e+01 5.900000000000000000e+01 2.175000000000000000e+03 3.446600000000000250e+02
5.400000000000000000e+01 5.900000000000000000e+01 2.128000000000000000e+03 3.650799999999999841e+02
5.300000000000000000e+01 5.800000000000000000e+01 2.198000000000000000e+03 1.412800000000000011e+02
