# channel_von channel_bis counts zeit/s
5.300000000000000000e+01 5.800000000000000000e+01 1.023100000000000000e+04 2.586600000000000250e+02
5.300000000000000000e+01 5.800000000000000000e+01 1.020300000000000000e+04 3.063600000000000136e+02
5.400000000000000000e+01 5.900000000000000000e+01 1.176500000000000000e+04 1.497400000000000091e+02
5.400000000000000000e+01 5.900000000000000000e+01 1.024200000000000000e+04 1.212399999999999949e+02
5.400000000000000000e+01 5.900000000000000000e+01 1.059200000000000000e+04 5.921399999999999864e+02
5.400000000000000000e+01 5.900000000000000000e+01 1.027700000000000000e+04 1.391999999999999886e+02
5.400000000000000000e+01 5.900000000000000000e+01 1.182100000000000000e+04 1.386200000000000045e+02
5.300000000000000000e+01 5.800000000000000000e+01 1.108300000000000000e+04 5.163999999999999773e+02
5.300000000000000000e+01 5.800000000000000000e+01 1.017500000000000000e+04 1.580800000000000125e+02
5.300000000000000000e+01 5.800000000000000000e+01 1.073500000000000000e+04 1.270000000000000000e+02
5.300000000000000000e+01 5.800000000000000000e+01 1.019500000000000000e+04 7.007599999999999909e+02
5.300000000000000000e+01 5.800000000000000000e+01 1.087400000000000000e+04 1.243199999999999932e+02
